Player,Rank
Gavin Sheets,-9182869.540045943
José Azocar,-9182869.734050792
Nelson Velázquez,-9182869.833658062
Yasmani Grandal,-9182870.79566875
Jordan Beck,-9182870.814730901
Cade Marlowe,-9182870.872957285
Tyler O'neill,-9182871.19551741
Kevin Newman,-9182871.257624513
Nick Fortes,-9182871.452974433
Oswaldo Cabrera,-9182872.026435858
Garrett Hampson,-9182872.581309743
Tyler Gentry,-9182872.761884714
Omar Narváez,-9182872.83569065
David Hamilton,-9182873.059104009
Romy Gonzalez,-9182873.107277634
Nolan Jones,-9182873.209796602
Jordyn Adams,-9182874.07738053
Austin Riley,-9182874.450693052
Darren Baker,-9182874.584352115
Jackson Chourio,-9182875.432639318
Max Kepler,-9182875.561711218
Salvador Pérez,-9182876.42435703
Wenceel Pérez,-9182876.780588457
Daz Cameron,-9182877.107170777
Marco Luciano,-9182877.159150431
Estevan Florial,-9182877.522676509
Josh Lowe,-9182878.168260498
Curtis Mead,-9182878.576626943
Michael Massey,-9182879.902769968
Chadwick Tromp,-9182880.648631273
Brenton Doyle,-9182883.585880438
Austin Hays,-9182884.324226156
Jackson Holliday,-9182884.840384025
Gabriel Arias,-9182885.378817178
Jeimer Candelario,-9182887.612446338
Michael Taylor,-9182889.044744164
Jo Adell,-9182890.302074537
Nick Gonzales,-9182892.95229734
Graham Pauley,-9182898.213059073
Jesús Sánchez,-9182898.639153644
Pete Crow-armstrong,-9182902.17230893
Zack Gelof,-9182904.86775434
Teoscar Hernández,-9182906.369170664
Javier Báez,-9182913.69182974
Will Benson,-9182917.908962876
Paul Goldschmidt,-9182921.239452353
Shea Langeliers,-9182921.638902485
Thairo Estrada,-9182929.281756751
Eddie Rosario,-9182930.640844986
Paul Dejong,-9182931.005469194
Noelvi Marte,-9182932.50296945
Brandon Marsh,-9182935.39879992
Jackson Merrill,-9182940.63272278
Lenyn Sosa,-9182945.824478151
Heliot Ramos,-9182950.35230886
Nick Gordon,-9182950.788780961
Jake Cave,-9182954.02731803
Tim Anderson,-9182973.424036985
Ceddanne Rafaela,-9183042.284151407
Oneil Cruz,-9183049.516836783
Korey Lee,-9183055.988014556
Bryan De la cruz,-9183062.233625438
Ezequiel Tovar,-9183607.547407746
