i,j,D,W
Aaron Hicks,Johnathan Rodríguez,-0.0026238929513942725,5831.971857115673
Aaron Hicks,Jon Berti,-0.0021733034923627765,5824.952432613627
Aaron Hicks,Jon Singleton,-0.0019083298289263697,5912.227277255721
Aaron Hicks,Jonah Bride,-0.006786290628396595,5854.901977155686
Aaron Hicks,Jonah Heim,0.004008620965503644,5860.751497574058
Aaron Hicks,Jonatan Clase,0.0005624423891467595,5822.612624446279
Aaron Hicks,Jonathan Aranda,-0.0014887619386039438,5840.629147334862
Aaron Hicks,Jonathan India,-0.021837818136353652,5953.641881766798
Aaron Hicks,Jonathan Ornelas,0.0002590061515503815,5822.61262444628
Aaron Hicks,Jonny Deluca,-0.0013657316216035263,5861.2194592075275
Aaron Hicks,Jordan Beck,0.0041689434959782815,5853.732073072012
Aaron Hicks,Jordan Walker,0.0014572228009516995,5843.6708979524155
Aaron Hicks,Jordan Westburg,0.0016811024833687342,5866.601017992429
Aaron Hicks,Jordyn Adams,-0.0007563021010798761,5822.61262444628
Aaron Hicks,Jorge Barrosa,-0.00044288936871379996,5820.272816278932
Aaron Hicks,Jorge Mateo,0.001931260345885767,5840.161185701392
Aaron Hicks,Jorge Polanco,0.004541748953246653,5929.073896060628
Aaron Hicks,Jorge Soler,-0.010099221140177275,5956.215670750882
Aaron Hicks,Jose Iglesias,-0.003265689419528303,5831.971857115672
Aaron Hicks,Jose Trevino,-0.0036613313797312697,5838.991281617718
Aaron Hicks,Josh Bell,-0.002039797525541396,5920.650586658174
Aaron Hicks,Josh Jung,0.002043193836521518,5842.500993868741
Aaron Hicks,Josh Lowe,0.007876205357844139,5916.672912773682
Aaron Hicks,Josh Naylor,-0.006081815523501895,5899.826293968774
Aaron Hicks,Josh Rojas,-0.0025878339807901603,5899.826293968776
Aaron Hicks,Josh Smith,-0.007155842370145987,5915.736989506742
Aaron Hicks,Joshua Palacios,-0.0032039068356458597,5824.952432613627
Aaron Hicks,José Abreu,0.0008141746293155802,5827.2922407809765
Aaron Hicks,José Altuve,-0.003987993886113358,5922.756414008788
Aaron Hicks,José Azocar,0.0004896031556825697,5824.952432613628
Aaron Hicks,José Caballero,0.003555567714299906,5903.569986985543
Aaron Hicks,José Devers,-0.0009609561619447092,5820.272816278932
Aaron Hicks,José Fermín,-0.003680239878602356,5822.612624446279
Aaron Hicks,José Herrera,0.0002370934264830057,5830.801953031999
Aaron Hicks,José Miranda,-0.0024839369042167964,5853.030130621807
Aaron Hicks,José Ramírez,-0.0028716266914537722,5877.598116378966
Aaron Hicks,José Siri,0.00854189164810509,5947.792361399414
Aaron Hicks,José Tena,0.002621049081858332,5842.03303223527
Aaron Hicks,Juan Soto,-0.03524452489743171,5973.062289555788
Aaron Hicks,Juan Yepez,-0.0038592802415176467,5843.202936318945
Aaron Hicks,Julio Rodríguez,0.004665873668353835,5937.263224646346
Aaron Hicks,Jung hoo Lee,-0.003534971165005675,5823.782528529954
Aaron Hicks,Junior Caminero,-0.0006456671888317342,5824.952432613628
Aaron Hicks,Jurickson Profar,-0.02081492739940422,5916.672912722694
Aaron Hicks,Justin Foscue,0.0017500752947747372,5827.292240780976
Aaron Hicks,Justin Turner,-0.016844580156951918,5923.224375642258
Aaron Hicks,Justyn-henry Malloy,0.0009263009743021134,5880.639866996517
Aaron Hicks,Kameron Misner,0.0007954632889963475,5824.952432613628
Aaron Hicks,Ke'bryan Hayes,-0.002553164829391489,5853.030130621808
Aaron Hicks,Keibert Ruiz,-0.0006338421288911269,5843.670897952415
Aaron Hicks,Kerry Carpenter,0.00209728015212868,5869.408787793245
Aaron Hicks,Keston Hiura,0.000548767320765341,5822.612624446279
Aaron Hicks,Ketel Marte,-0.00974376312583573,5902.8680445863265
Aaron Hicks,Kevin Alcántara,-0.000963233658416785,5820.272816278932
Aaron Hicks,Kevin Kiermaier,0.006772987353967948,5872.918500044269
Aaron Hicks,Kevin Newman,0.00025823898650832825,5829.632048948325
Aaron Hicks,Kevin Pillar,-0.0012966911093089744,5868.238883709572
Aaron Hicks,Kody Clemens,0.0023659543279277353,5830.801953031999
Aaron Hicks,Korey Lee,0.01302290467835512,5881.107828629988
Aaron Hicks,Kris Bryant,-0.003209792768222667,5858.879651040179
Aaron Hicks,Kyle Farmer,-0.002815812248505557,5847.180610203436
Aaron Hicks,Kyle Higashioka,0.003315034286541828,5857.709746956504
Aaron Hicks,Kyle Isbel,0.0017121452624973342,5866.601017992428
Aaron Hicks,Kyle Manzardo,0.0026088613235842836,5831.971857115673
Aaron Hicks,Kyle Mccann,0.0023901850792485504,5860.75149752307
Aaron Hicks,Kyle Schwarber,-0.00928962855227812,6025.123021188148
Aaron Hicks,Kyle Stowers,0.0045603057958461405,5872.684519227534
Aaron Hicks,Kyle Tucker,-0.015275947391009433,5887.659291498562
Aaron Hicks,Kyren Paris,-0.0012504142035779343,5827.2922407809765
Aaron Hicks,Lamonte Wade,-0.010676176746081402,5907.413957597174
Aaron Hicks,Lane Thomas,-0.00046899031926854484,5923.2243755912705
Aaron Hicks,Lars Nootbaar,-0.009604592897251862,5869.408787793247
Aaron Hicks,Lawrence Butler,0.0032485211019956215,5893.274831100199
Aaron Hicks,Lenyn Sosa,0.005159968376183567,5834.311665283021
Aaron Hicks,Leo Jimenez,-0.005268989466524978,5858.879651040178
