,winner,loser,score
517,Brandon Moss,José Abreu,0
518,Brandon Moss,Lonnie Chisenhall,1
519,Brandon Moss,Nick Markakis,14
520,Brandon Moss,Nick Swisher,3
521,Nick Swisher,Brandon Moss,3
522,Brandon Moss,Robinson Chirinos,1
523,Brandon Moss,Will Middlebrooks,8
524,Brandon Moss,Yan Gomes,0
525,Brandon Phillips,Alexi Amarista,2
526,Brandon Phillips,Angel Pagan,1
527,Brandon Phillips,Freddie Freeman,4
528,Freddie Freeman,Brandon Phillips,4
529,Brandon Phillips,Hunter Pence,0
530,Brandon Phillips,Jean Segura,2
531,Brandon Phillips,Jhonny Peralta,2
532,Brandon Phillips,Jimmy Rollins,0
533,Brandon Phillips,Matt Adams,0
534,Brandon Phillips,Nate Schierholtz,3
535,Brandon Phillips,Neil Walker,0
536,Brandon Phillips,Pablo Sandoval,0
537,Brandon Phillips,Rickie Weeks,0
538,Brandon Phillips,Ryan Braun,0
539,Brandon Phillips,Ryan Howard,2
540,Brandon Phillips,Seth Smith,4
541,Brandon Phillips,Yasiel Puig,0
542,Brayan Pena,Allen Craig,2
543,Brayan Pena,Andrew Mccutchen,0
544,Brayan Pena,Freddie Freeman,0
545,Brayan Pena,Jonathan Lucroy,3
546,Jonathan Lucroy,Brayan Pena,3
547,Brayan Pena,Jonathan Villar,3
548,Jonathan Villar,Brayan Pena,3
549,Brayan Pena,Neil Walker,5
550,Neil Walker,Brayan Pena,5
551,Brayan Pena,Torii Hunter,0
552,Brett Gardner,Adam Eaton,0
553,Brett Gardner,Adam Jones,3
554,Brett Gardner,Billy Butler,0
555,Brett Gardner,C. j. Cron,5
556,Brett Gardner,Danny Santana,3
557,Danny Santana,Brett Gardner,3
558,Brett Gardner,David Murphy,0
559,Brett Gardner,David Ortiz,3
560,Brett Gardner,Jimmy Paredes,3
561,Jimmy Paredes,Brett Gardner,3
562,Brett Gardner,Kole Calhoun,0
563,Brett Gardner,Mike Napoli,3
564,Mike Napoli,Brett Gardner,3
565,Brett Gardner,Rougned Odor,2
566,Brett Gardner,Tyler Flowers,0
567,Brett Gardner,Victor Martinez,0
568,Brett Hayes,Josh Donaldson,3
569,Brett Lawrie,Kyle Seager,10
570,Brett Lawrie,Matthew Joyce,0
571,Brian Dozier,Adam Eaton,1
572,Brian Dozier,Alcides Escobar,5
573,Brian Dozier,Alex Gordon,10
574,Brian Dozier,Alex Rios,8
575,Brian Dozier,Brandon Moss,0
576,Brian Dozier,C. j. Cron,6
577,C. j. Cron,Brian Dozier,6
578,Brian Dozier,Danny Santana,2
579,Brian Dozier,Elvis Andrus,3
580,Brian Dozier,Erick Aybar,1
581,Brian Dozier,James Jones,4
582,Brian Dozier,Jason Heyward,0
583,Brian Dozier,Jason Kipnis,9
584,Brian Dozier,Jed Lowrie,9
585,Brian Dozier,Jonathan Schoop,0
586,Brian Dozier,Kennys Vargas,0
587,Brian Dozier,Kole Calhoun,4
588,Brian Dozier,Leonys Martín,12
589,Brian Dozier,Logan Morrison,3
590,Logan Morrison,Brian Dozier,3
591,Brian Dozier,Lorenzo Cain,0
592,Brian Dozier,Mark Teixeira,1
593,Brian Dozier,Michael Brantley,8
594,Brian Dozier,Nick Markakis,10
595,Nick Markakis,Brian Dozier,10
596,Brian Dozier,Nolan Arenado,2
597,Brian Dozier,Omar Infante,9
598,Brian Dozier,Oswaldo Arcia,3
599,Brian Dozier,Rajai Davis,1
600,Brian Dozier,Robinson Cano,0
601,Brian Dozier,Rougned Odor,11
602,Brian Dozier,Shin-soo Choo,6
603,Brian Dozier,Todd Frazier,3
604,Brian Dozier,Tyler Flowers,1
605,Brian Dozier,Will Middlebrooks,1
606,Will Middlebrooks,Brian Dozier,1
607,Brian Mccann,Austin Jackson,3
608,Austin Jackson,Brian Mccann,3
609,Brian Mccann,Billy Butler,12
610,Brian Mccann,Evan Longoria,12
611,Brian Mccann,George Springer,0
612,Brian Mccann,Jacoby Ellsbury,9
613,Brian Mccann,Jose Altuve,10
614,Brian Mccann,José Abreu,1
615,Brian Mccann,Mike Napoli,10
616,Brian Mccann,Oswaldo Arcia,0
617,Brian Mccann,Rajai Davis,0
618,Brian Roberts,Carlos Santana,3
619,Brock Holt,Adam Jones,9
620,Brock Holt,Josh Donaldson,10
621,Buster Posey,A. j. Ellis,0
622,Buster Posey,Allen Craig,3
623,Allen Craig,Buster Posey,3
624,Buster Posey,Andre Ethier,0
625,Buster Posey,Anthony Rizzo,0
626,Buster Posey,Aramis Ramirez,6
627,Buster Posey,Carlos Gomez,9
628,Buster Posey,Corey Dickerson,6
629,Buster Posey,Devin Mesoraco,0
630,Buster Posey,Domonic Brown,0
631,Buster Posey,Emilio Bonifacio,6
632,Buster Posey,Freddie Freeman,3
633,Freddie Freeman,Buster Posey,3
634,Buster Posey,Gregor Blanco,0
635,Buster Posey,Hanley Ramirez,0
636,Buster Posey,Hunter Pence,0
637,Buster Posey,Mike Morse,0
638,Buster Posey,Paul Goldschmidt,4
639,Buster Posey,Yasiel Puig,9
640,C. j. Cron,Adam Jones,3
641,Adam Jones,C. j. Cron,3
642,C. j. Cron,Brett Gardner,0
643,C. j. Cron,Brian Dozier,6
644,Brian Dozier,C. j. Cron,6
645,C. j. Cron,Chris Parmelee,0
646,C. j. Cron,Kole Calhoun,2
647,C. j. Cron,Lorenzo Cain,0
648,C. j. Cron,Nick Markakis,0
649,C. j. Cron,Ryan Flaherty,0
650,Caleb Joseph,Adam Jones,6
651,Cameron Maybin,Carl Crawford,0
652,Cameron Maybin,Matt Kemp,3
653,Matt Kemp,Cameron Maybin,3
654,Carl Crawford,Andrew Mccutchen,8
655,Carl Crawford,Brandon Crawford,0
656,Carl Crawford,Cameron Maybin,1
657,Carl Crawford,Charlie Blackmon,5
658,Carl Crawford,Corey Dickerson,0
